name,category
Read,BOOK
Currently Reading,BOOK
Want to Read,BOOK
Want to sell,BOOK
Played,GAME
Want to Play,GAME
To be Released,GAME
Currently playing,GAME
Watched,MOVIE
Want to Watch,MOVIE
To be Launched,MOVIE
