id,movie_type,image,title,original_title,movie_genre,rating,launch_date,description,movie_link,movie_image_link,movie_status
279,2,movies/9e19a729-1073-431f-a96d-21ec0519f581.jpg,Activitate paranormala: Cei insemnati,Paranormal Activity: The Marked Ones,13,5.0,2014-01-01,"<p><span style=""color:hsl(0, 0%, 0%);"">When a young man becomes the target of a malevolent entity, he must uncover its true intentions before it takes complete control of him.</span></p>",https://www.imdb.com/title/tt2473682/,,1
278,2,movies/86ab28f8-8a14-4311-909e-e1a919ea6f43.jpg,Orfana,Orphan,13,7.0,2009-07-21,"<p><span style=""color:hsl(0, 0%, 0%);"">A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.</span></p>",https://www.imdb.com/title/tt1148204/,,1
277,2,movies/1c8dee1b-c283-4c06-a3de-3f7a56863627.jpg,Noi,Us,13,6.8,2019-03-08,"<p><span style=""color:hsl(0, 0%, 0%);"">Adelaide Wilson and her family are attacked by mysterious figures dressed in red. Upon closer inspection, the Wilsons realize that the intruders are exact lookalikes of them.</span></p>",https://www.imdb.com/title/tt6857112/,,1
276,2,movies/c672514f-ccd9-46ae-a6bb-4feb3c842b8b.jpg,Fugi!,Get Out,13,7.8,2017-01-23,"<p><span style=""color:hsl(0, 0%, 0%);"">A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.</span></p>",https://www.imdb.com/title/tt5052448/,,1
275,2,movies/f6a5e493-4708-4349-8600-ceb1f22b0a45.jpg,Vrăjitoarea,The VVitch: A New-England Folktale,21,7.0,2015-01-23,"<p><span style=""color:hsl(0, 0%, 0%);"">A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.</span></p>",https://www.imdb.com/title/tt4263482/,,2
274,2,movies/1310c17e-e846-4793-99ef-d7036191cc31.jpg,Domnul Glass,Glass,8,6.6,2019-01-07,"<p><span style=""color:hsl(0, 0%, 0%);"">Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.</span></p>",https://www.imdb.com/title/tt6823368/,,2
273,2,movies/c65af034-72ec-4a83-9ea4-771353976296.jpg,Hush,Hush,13,6.6,2016-03-12,"<p><span style=""color:hsl(0, 0%, 0%);"">A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.</span></p>",https://www.imdb.com/title/tt5022702/,,1
272,1,movies/f4df77ac-8bd2-4f4e-a43f-5046d549464c.jpg,It,It,8,6.8,1990-11-18,"<p><span style=""color:hsl(0, 0%, 0%);"">In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.</span></p>",https://www.imdb.com/title/tt0099864/,,2
271,2,movies/710821a7-b1dd-403e-b75c-8166b7350e15.jpg,Spring,Spring,13,6.7,2014-09-05,"<p><span style=""color:hsl(0, 0%, 0%);"">A young man in a personal tailspin flees from US to Italy, where he sparks up a romance with a woman harboring a dark, primordial secret.</span></p>",https://www.imdb.com/title/tt3395184/,,1
270,2,movies/22c66327-9b4c-4463-84ad-98680b06da96.jpg,Outlaw King,Outlaw King,4,6.9,2018-09-06,"<p><span style=""color:hsl(0, 0%, 0%);"">A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.</span></p>",https://www.imdb.com/title/tt6679794/,,2
269,2,movies/86f8a77c-c811-4ba9-9ccb-ea5237e27a3c.jpg,Maniac,Maniac,6,6.4,1980-05-10,"<p><span style=""color:hsl(0, 0%, 0%);"">A psychopathic man goes on a killing and mutilation spree in New York City.</span></p>",https://www.imdb.com/title/tt0081114/,,2
268,2,movies/6c9f2d78-3f18-4daf-8e5e-ef0c7a4bf7f4.jpg,Cabana din pădure,The Cabin in the Woods,13,7.0,2011-12-11,"<p><span style=""color:hsl(0, 0%, 0%);"">Five college friends head out to a remote cabin for a getaway, but things don't go as planned when they start getting killed. They soon discover that there is more to the cabin than it seems.</span></p>",https://www.imdb.com/title/tt1259521/,,1
267,2,movies/a5987004-b3da-4836-a115-0dedc1eeb7a0.jpg,The Kitchen,The Kitchen,18,4.8,2023-10-15,"<p><span style=""color:hsl(0, 0%, 0%);"">In a dystopian future London where all social housing has been eliminated, Izi and Benji fight to navigate the world as residents of The Kitchen, a community that refuses to abandon their home.</span></p>",https://www.imdb.com/title/tt4460800/,,2
266,2,movies/3b509c6c-c65c-479b-b7c6-b5ba0a279149.jpg,Bastarden,Bastarden,4,7.7,2023-09-01,"<p><span style=""color:hsl(0, 0%, 0%);"">The story of Ludvig Kahlen who pursued his lifelong dream: To make the heath bring him wealth and honor.</span></p>",https://www.imdb.com/title/tt20561198/,,2
