Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35765093,Dispariția din Silver Water,Haylen Beck,"Beck, Haylen",Flavius Ardelean,"=""606763130X""","=""9786067631302""",0,3.99,Herg Benet,Paperback,352,2017,2017,,2020/03/02,to-read,to-read (#105),to-read,,,,0,0
25463443,Ai grija ce-ti doresti (The Clifton Chronicles #4),Jeffrey Archer,"Archer, Jeffrey",,"=""""","=""""",0,4.12,Editura Vivaldi,Paperback,448,2014,2014,,2020/03/02,to-read,to-read (#104),to-read,,,,0,0
18157957,Condamnat la moarte,Mikkel Birkegaard,"Birkegaard, Mikkel",,"=""9734625403""","=""9789734625406""",0,2.79,Polirom,Paperback,352,2012,2009,,2020/03/02,to-read,to-read (#103),to-read,,,,0,0
13425169,Biblioteca umbrelor,Mikkel Birkegaard,"Birkegaard, Mikkel",Gabriela Sauciuc,"=""9734619861""","=""9789734619863""",0,3.39,Polirom,Paperback,504,2011,2009,,2020/03/02,to-read,to-read (#102),to-read,,,,0,0
18730166,Gradina fiarelor,Jeffery Deaver,"Deaver, Jeffery",,"=""6066093134""","=""9786066093132""",0,3.89,Editura RAO,Paperback,537,2012,2004,,2020/03/02,to-read,to-read (#101),to-read,,,,0,0
18730187,"A douasprezecea carte (Lincoln Rhyme, #6)",Jeffery Deaver,"Deaver, Jeffery",,"=""6066090399""","=""9786066090391""",0,3.99,Editura RAO,Paperback,474,2011,2005,,2020/03/02,to-read,to-read (#100),to-read,,,,0,0
18730178,"Dansand cu moartea (Lincoln Rhyme, #2)",Jeffery Deaver,"Deaver, Jeffery",Lorena Mihaes,"=""6068255921""","=""9786068255927""",0,4.16,Editura RAO,Paperback,480,2011,1998,,2020/03/02,to-read,to-read (#99),to-read,,,,0,0
18730177,"Fereastra sparta (Lincoln Rhyme, #8)",Jeffery Deaver,"Deaver, Jeffery",,"=""6066092979""","=""9786066092975""",0,4.09,Editura RAO,Paperback,544,2012,2008,,2020/03/02,to-read,to-read (#97),to-read,,,,0,0
27865290,"Luna rece (Lincoln Rhyme, #7)",Jeffery Deaver,"Deaver, Jeffery",Raluca Matiș,"=""9731032177""","=""9789731032177""",0,4.06,Editura RAO,Hardcover,448,2007,2006,,2020/03/02,to-read,to-read (#96),to-read,,,,0,0
22041596,"Colectionarul de oase (Lincoln Rhyme, #1)",Jeffery Deaver,"Deaver, Jeffery",,"=""""","=""9789734602254""",0,4.20,Polirom,Hardcover,560,2007,1997,,2020/03/02,to-read,to-read (#95),to-read,,,,0,0
