id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link
452,1,1,Craig Russell,,The Valkyrie Song ,,4.07,,,9780091921446,416,3,3/7/2020,,
453,1,1,Russell Craig,,The Carnival Master ,,3.92,,,9780099522645,441,3,3/7/2020,,
454,1,1,Craig Russell,,Brother Grimm ,,3.89,,,9780099484226,448,3,3/7/2020,,
455,1,1,Craig Russell,,Blood Eagle ,,3.78,,,9780099472582,482,3,3/7/2020,,
456,1,1,Andrew Gross,,One Mile Under ,,3.86,,,9780061655999,396,3,3/7/2020,,
457,1,1,Andrew Gross,,Reckless ,,3.83,,,9780061655951,401,3,3/7/2020,,
458,1,1,Andrew Gross,,Don't Look Twice ,,3.79,,,9780061143441,376,3,3/7/2020,,
459,1,1,Alex Berenson,,The Prisoner ,,4.21,,,,430,3,3/7/2020,,
460,1,1,Alex Berenson,,The Wolves ,,4.08,,,9780399176142,389,3,3/7/2020,,
461,1,1,Alex Berenson,,Twelve Days ,,4.08,,,9780399159749,422,3,3/7/2020,,
462,1,1,Alex Berenson,,The Night Ranger ,,4.08,,,9780399159725,387,3,3/7/2020,,
463,1,1,Alex Berenson,,The Shadow Patrol ,,4.13,,,9780399158292,400,3,3/7/2020,,
464,1,1,Alex Berenson,,The Secret Soldier  ,,4.16,,,9780399157080,401,3,3/7/2020,,
465,1,1,Alex Berenson,,The Midnight House ,,4.03,,,9780399156205,385,3,3/7/2020,,
466,1,1,Alex Berenson,,The Ghost War ,,4.05,,,9780399154539,383,3,3/7/2020,,
467,1,1,Jeffery Deaver,,Edge,,4,,,9781439195956,416,3,3/2/2020,,
468,1,1,Jeffery Deaver,,The Steel Kiss ,,4.05,,,9781455536344,486,3,3/2/2020,,
469,1,1,Jeffery Deaver,,The Kill Room ,,3.9,,,9781444757330,456,3,3/2/2020,,
470,1,1,Jeffery Deaver,,The Skin Collector  ,,3.99,,,9781455517138,430,3,3/2/2020,,
471,1,1,Jeffery Deaver,,The Burning Wire ,,4.05,,,9781439156339,414,3,3/2/2020,,
472,1,1,Patricia Cornwell,,Trace ,,3.82,,,9780425204207,401,3,3/2/2020,,
473,1,1,M.J. Arlidge,,Ghici cine moare primul,,3.95,,,9786067191721,408,3,3/2/2020,,
474,1,1,John Grisham,,Campionul din Arkansas,,3.75,,,9789731035635,448,3,3/2/2020,,
475,1,1,Meg Gardiner,,Lantul de crime ,,3.89,,,9786068631288,352,3,3/2/2020,,
476,1,1,B.A. Paris,,În spatele ușilor închise,,3.98,,,,304,3,3/2/2020,,
477,1,1,James Rayburn,,Adevărul absolut,,3.84,,,9786069418581,352,3,3/2/2020,,
478,1,1,Haylen Beck,,Dispariția din Silver Water,,3.99,,,9786067631302,352,3,3/2/2020,,
479,1,1,Jeffrey Archer,,Ai grija ce-ti doresti ,,4.12,,,,448,3,3/2/2020,,
480,1,1,Mikkel Birkegaard,,Condamnat la moarte,,2.79,,,9789734625406,352,3,3/2/2020,,
481,1,1,Mikkel Birkegaard,,Biblioteca umbrelor,,3.39,,,9789734619863,504,3,3/2/2020,,
482,1,1,Jeffery Deaver,,Gradina fiarelor,,3.89,,,9786066093132,537,3,3/2/2020,,
483,1,1,Jeffery Deaver,,A douasprezecea carte ,,3.99,,,9786066090391,474,3,3/2/2020,,
484,1,1,Jeffery Deaver,,Dansand cu moartea ,,4.16,,,9786068255927,480,3,3/2/2020,,
485,1,1,Jeffery Deaver,,Fereastra sparta ,,4.09,,,9786066092975,544,3,3/2/2020,,
486,1,1,Jeffery Deaver,,Luna rece ,,4.06,,,9789731032177,448,3,3/2/2020,,
487,1,1,Jeffery Deaver,,Colectionarul de oase ,,4.2,,,9789734602254,560,3,3/2/2020,,
488,1,1,Jeffery Deaver,,Scaunul gol,,4.07,,,9789731036304,512,3,3/2/2020,,
489,1,1,Jeffery Deaver,,Maimuta de piatra ,,3.97,,,9789735400408,480,3,3/2/2020,,
490,1,1,Patricia Cornwell,,Cartea morților,,3.69,,,9789731432939,576,3,3/2/2020,,
491,1,1,Patricia Cornwell,,Ratiuni criminale,,3.72,,,9789735699222,448,3,3/2/2020,,
492,1,1,Brandon Sanderson,,Eroul evurilor ,,4.53,,,9786067194760,824,3,3/2/2020,,
493,1,1,Brandon Sanderson,,Fântâna Înălţării ,,4.38,,,9786067194012,862,3,3/2/2020,,
494,1,1,Brandon Sanderson,,Ultimul imperiu ,,4.48,,,9789737078230,816,3,3/2/2020,,
495,1,1,Paula Hawkins,,În ape adânci,,3.59,,,9786064001146,432,3,3/2/2020,,
496,1,1,Marc Levy,,Ea și El,,3.71,,,,320,3,3/2/2020,,
497,1,1,Brandon Sanderson,,Aliați în Slujba Dreptății ,,4.21,,,9786064003041,376,3,3/2/2020,,
498,1,1,John Fowles,,Magicianul,,4.05,,,9789734636808,751,3,3/2/2020,,
499,1,1,Rodica Ojog-Braşoveanu,,Întâlnire la Elysée ,,3.84,,,9786067583113,0,3,3/2/2020,,
500,1,1,Joël Dicker,,Adevărul despre cazul Harry Quebert,,4.18,,,9789737077530,656,3,3/2/2020,,
501,1,1,Agatha Christie,,Misterioasa afacere de la Styles ,,4,,,9786066091046,216,3,3/2/2020,,
502,1,1,Rodica Ojog-Braşoveanu,,Al cincilea as,,4.19,,,9789731432533,342,3,3/2/2020,,
503,1,1,Rodica Ojog-Braşoveanu,,Poveste imorală,,4.22,,,9789731432540,480,3,3/2/2020,,
504,1,1,Éric-Emmanuel Schmitt,,Omul care vedea dincolo de chipuri,,3.77,,,9786067793796,304,3,3/2/2020,,
505,1,1,Brandon Sanderson,,Umbra sinelui ,,4.28,,,9786064005946,432,3,3/2/2020,,
506,1,1,Stephen King,,Carrie,,3.98,,,9781416524304,272,3,3/2/2020,,
507,1,1,Rodica Ojog-Braşoveanu,,Cianură pentru un surâs ,,4.35,,,,222,3,3/2/2020,,
508,1,1,Rodica Ojog-Braşoveanu,,320 de pisici negre ,,4.35,,,,288,3,3/2/2020,,
