id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link,goodreads_book_id,goodreads_image_link
59,1,,Christie Golden,,Warcraft: Durotan,,4.04,,,9781783299607,304,,2021-02-21,,,27038915,
60,1,,William King,,Illidan ,,4.02,,,9780399177569,336,,2021-02-21,,,26721433,
61,1,,Blizzard Entertainment,,World of Warcraft Chronicle: Volume 3,,4.39,,,9781616558475,223,,2021-02-21,,,35693558,
62,1,,Blizzard Entertainment,,World of Warcraft Chronicle: Volume 2,,4.46,,,9781616558468,202,,2021-02-21,,,31153818,
63,1,,Blizzard Entertainment,,World of Warcraft Chronicle: Volume 1,,4.48,,,9781616558451,165,,2021-02-21,,,24464590,
64,1,,Elias Vandoren,,World of Warcraft: Destination Pandaria,,4.5,,,,275,,2021-02-21,,,23545836,
65,1,,Christie Golden,,War Crimes ,,4.03,,,9781451684483,358,,2021-02-21,,,19824385,
66,1,,Micky Neilson,,World of Warcraft: Paragons,,4.05,,,,467,,2021-02-21,,,20634370,
67,1,,Richard A. Knaak,,World of Warcraft: Dawn of the Aspects: Part V,,4.15,,,9781476708645,100,,2021-02-21,,,17164795,
68,1,,Richard A. Knaak,,World of Warcraft: Dawn of the Aspects: Part IV,,4.08,,,9781476708638,100,,2021-02-21,,,17164796,
69,1,,Richard A. Knaak,,World of Warcraft: Dawn of the Aspects: Part III,,4.08,,,9781476708621,100,,2021-02-21,,,17164793,
70,1,,Richard A. Knaak,,World of Warcraft: Dawn of the Aspects: Part II,,4.11,,,9781476708614,100,,2021-02-21,,,17164794,
71,1,,Richard A. Knaak,,World of Warcraft: Dawn of the Aspects: Part I,,4.0,,,9781416550693,90,,2021-02-21,,,17137806,
72,1,,Michael A. Stackpole,,Vol'jin: Shadows of the Horde ,,3.89,,,9781416550679,320,,2021-02-21,,,15802977,
73,1,,Christie Golden,,Jaina Proudmoore: Tides of War ,,4.1,,,9781416550761,352,,2021-02-21,,,13260060,
74,1,,Richard A. Knaak,,Wolfheart ,,3.87,,,9781451605754,384,,2021-02-21,,,10818702,
75,1,,Christie Golden,,Thrall: Twilight of the Aspects ,,4.1,,,9781416550884,309,,2021-02-21,,,9833170,
76,1,,Christie Golden,,The Shattering: Prelude to Cataclysm ,,3.96,,,,357,,2021-02-21,,,20105391,
77,1,,Richard A. Knaak,,Stormrage ,,3.67,,,9781416550877,432,,2021-02-21,,,6600527,
78,1,,Christie Golden,,Arthas: Rise of the Lich King ,,4.13,,,9781416550778,320,,2021-02-21,,,6290885,
79,1,,Richard A. Knaak,,Night of the Dragon ,,3.78,,,9780743471374,320,,2021-02-21,,,3137561,
80,1,,Aaron Rosenberg,,Beyond the Dark Portal ,,4.0,,,9781416550860,426,,2021-02-21,,,1914018,
81,1,,Aaron Rosenberg,,Tides of Darkness ,,3.92,,,9781416539902,384,,2021-02-21,,,279508,
82,1,,Keith R.A. DeCandido,,Cycle of Hatred ,,3.64,,,9780743471367,272,,2021-02-21,,,279502,
83,1,,richard-a-knaak,,The Sundering ,,4.14,,,9780743471213,384,,2021-02-21,,,279562,
84,1,,Richard A. Knaak,,The Demon Soul ,,4.06,,,9780743471206,384,,2021-02-21,,,279545,
85,1,,Richard A. Knaak,,The Well of Eternity ,,4.03,,,9780743471190,370,,2021-02-21,,,279583,
86,1,,Richard A. Knaak,,WarCraft Archive ,,4.23,,,9780739480243,0,,2021-02-21,,,1267905,
87,1,,Jeff Grubb,,The Last Guardian ,,4.02,,,9780671041519,320,,2021-02-21,,,283866,
88,1,,Christie Golden,,Lord of the Clans ,,4.14,,,9780743426909,278,,2021-02-21,,,283867,
89,1,,Richard A. Knaak,,Day of the Dragon ,,3.81,,,9780671041526,378,,2021-02-21,,,100427,
90,1,,Chris Metzen,,Of Blood and Honor,,4.0,,,,53,,2021-02-21,,,5050052,
91,1,,Kristy Dallas Alley,,The Ballad of Ami Miles,,3.43,,,9781250222138,272,,2021-02-21,,,41564826,
92,1,,Kyla Stone,,Edge of Survival ,,4.49,,,9781945410628,398,,2021-02-21,,,55378391,
93,1,,A.G. Riddle,,Pandemic ,,4.07,,,9781940026121,722,,2021-02-21,,,34811896,
94,1,,Ransom Riggs,,Biblioteca sufletelor ,,4.14,,,9786068811031,552,,2021-01-23,2021-02-20,,33146484,
95,1,,Ransom Riggs,,Orașul pustiu ,,4.06,,,9786069384992,472,,2021-01-23,2021-02-11,,27855953,
96,1,,Rick Riordan,,The Sea of Monsters ,,4.25,,,9780786856862,279,,2021-01-29,,,28186,
97,1,,James Dashner,,The Scorch Trials ,,3.9,,,9780385738750,362,,2021-01-29,,,7631105,
98,1,,James Dashner,,The Death Cure ,,3.78,,,9780385738774,325,,2021-01-29,,,7864437,
99,1,,Madeleine Roux,,Asylum ,,3.64,,,9780062220967,317,,2021-01-29,,,13597728,
100,1,,Ransom Riggs,,Miss Peregrine ,,3.92,,,9789731247731,392,,2021-01-23,2021-01-29,,20621490,
101,1,,Peter  May,,The Blackhouse ,,4.08,,,9781849163842,386,,2020-12-21,,,10305247,
102,1,,Peter  May,,Carantina,,3.63,,,9786067949095,368,,2020-12-21,,,54753380,
103,1,,Gwenda Bond,,Fallout ,,3.88,,,9781630790059,304,,2020-12-21,,,23110163,
104,1,,Charlie Jane Anders,,Orașul de la miezul nopții,,3.5,,,9786064306074,416,,2020-12-21,,,48611857,
105,1,,Imran Mahmood,,"Eu, acuzatul",,3.78,,,9786060063629,368,,2020-12-21,,,54926002,
106,1,,C.J. Tudor,,Dispariția lui Annie Thorne,,3.61,,,,351,,2020-12-21,,,55810019,
107,1,,Mary Robinette Kowal,,The Relentless Moon ,,4.36,,,9781250236968,544,,2020-12-21,,,52381417,
108,1,,Mary Robinette Kowal,,The Fated Sky ,,4.27,,,9780765398949,384,,2020-12-21,,,33081262,
109,1,,Mary Robinette Kowal,,The Calculating Stars ,,3.96,,,,431,,2020-12-21,,,33080122,
110,1,,Jeff VanderMeer,,Autoritate ,,3.54,,,9786067191936,368,,2020-12-21,,,25375732,
111,1,,Karen M. McManus,,The Cousins,,3.78,,,9780525708018,337,,2020-12-21,,,49757149,
112,1,,Guillermo del Toro,,Pan's Labyrinth: The Labyrinth of the Faun,,4.26,,,9780062414465,256,,2020-12-21,,,42117981,
113,1,,Leigh Bardugo,,A noua casă ,,4.03,,,9786064009241,592,,2020-12-21,,,54907028,
114,1,,Radu Octavian,,Sapte Porti,,4.59,,,9786069505700,245,,2020-12-21,,,55384693,
115,1,,John Case,,Sindromul. Știi cine ești cu adevărat,,3.73,,,,576,,2020-12-21,,,18711635,
116,1,,Anne Holt,,Ura,,3.58,,,9789737075444,426,,2020-03-02,,,12962009,
117,1,,Victor Koman,,Weeds,,4.0,,,9780061058424,0,,2020-11-26,,,15133216,
118,1,,Jorge Zamacona,,The Wild and the Innocent,,4.0,,,9780061059230,0,,2020-11-26,,,15133235,
119,1,,Lewis  Gannett,,Force Majeure ,,3.0,,,9780061059629,0,,2020-11-26,,,15133286,
120,1,,Lewis  Gannett,,Gehenna ,,3.4,,,9780694518722,3,,2020-11-24,2020-11-26,,1713298,
121,1,,Elizabeth Hand,,Francezul ,,3.12,,,9789739862639,187,,2020-11-22,2020-11-24,,18308485,
122,1,,Jeff VanderMeer,,Anihilare ,,3.77,,,9786067190526,208,,2020-10-26,2020-10-27,,23149717,
123,1,,Jack Higgins,,Tinta sigura ,,3.76,,,,288,,2020-11-20,2020-11-23,,26799403,
124,1,,Claudia Groß,,Maestra runelor,,3.26,,,,314,,2020-11-20,,,17371798,
125,1,,Andrew  Taylor,,Jocul de-a destinul,,3.68,,,9786068251257,352,,2020-11-20,,,32858581,
126,1,,Tom Knox,,Secretul Genezei,,3.58,,,9786066094986,252,,2020-11-20,,,45020908,
127,1,,Åsa Larsson,,Furtună solară  ,,3.63,,,9789737074584,288,,2020-03-02,,,11275049,
128,1,,Agatha Christie,,Martorul mut ,,3.9,,,9786063342387,400,,2020-03-02,,,49015630,
129,1,,David  Jackson,,Nu scoate un sunet,,4.28,,,9786060062479,384,,2020-04-08,,,49450971,
130,1,,Eric Van Lustbader,,The Nemesis Manifesto ,,3.66,,,9781788541336,352,,2020-03-07,,,37791965,
131,1,,Jeffery Deaver,,Moartea vine on-line ,,3.85,,,9786066096379,512,,2020-03-02,,,41830822,
132,1,,Douglas Kennedy,,Trădarea,,3.61,,,9786067196450,400,,2020-03-07,,,52069820,
133,1,,Yrsa Sigurdardottir,,Renegatii ,,3.7,,,9786067195316,392,,2020-03-07,,,49496022,
134,1,,Mons Kallentoft,,Toamna,,3.49,,,9789737075291,400,,2020-03-02,,,17875767,
135,1,,Taylor Stevens,,Femeia cameleon ,,3.79,,,9786067194111,399,,2020-03-07,,,43242880,
136,1,,Dolores Redondo,,Ofrenda a la tormenta ,,4.09,,,9788423348688,544,,2020-04-21,,,23002631,
137,1,,Dolores Redondo,,Legado en los huesos ,,4.14,,,9788423347452,560,,2020-04-21,,,18741291,
138,1,,Dolores Redondo,,El guardián invisible ,,3.95,,,9788423346042,440,,2020-04-21,,,17238220,
139,1,,Simon Sebag Montefiore,,Într-o noapte de iarnă,,3.96,,,9786067190458,552,,2020-04-08,,,23711092,
140,1,,Carlos Ruiz Zafón,,Luminile din septembrie,,3.83,,,9789734624546,248,,2020-04-08,,,16095742,
141,1,,Olen Steinhauer,,Turistul,,3.78,,,9786069267790,475,,2020-04-08,,,23467597,
142,1,,Flynn Berry,,Sora pierdută,,3.4,,,,288,,2020-04-08,,,34912603,
143,1,,Veit Etzold,,Agonie mentală ,,3.89,,,9786060060925,432,,2020-04-08,,,42446409,
144,1,,Elizabeth Haynes,,În cel mai întunecat colț,,4.07,,,9786067631944,448,,2020-04-08,,,42285371,
145,1,,Traian Tandin,,Condamnati La Moarte,,4.0,,,,671,,2020-04-08,,,23778400,
