movie_type,title,original_title,movie_genre,rating,launch_date,description,movie_link,movie_image_link,movie_status
2,The Gentlemen,The Gentlemen,1,7.8,,,https://www.imdb.com/title/tt8367814/,,2
1,House of Ninjas,Shinobi no Ie: House of Ninjas,1,7.2,,,https://www.imdb.com/title/tt22012992/,,2
1,Shōgun,Shôgun,2,9.2,,,https://www.imdb.com/title/tt2788316/,,2
2,Trauma,Trauma,13,4.8,,,https://www.imdb.com/title/tt6705640/,,1
2,Zeitgeist,Zeitgeist,7,8.1,,,https://www.imdb.com/title/tt1166827/,,2
2,Shattered,Shattered,21,5.0,,,https://www.imdb.com/title/tt14923008/,,1
2,El cadáver de Anna Fritz,El cadáver de Anna Fritz,13,5.9,,,https://www.imdb.com/title/tt4441280/,,1
2,V/H/S,V/H/S,13,5.8,,,https://www.imdb.com/title/tt2105044/?ref_=fn_al_tt_1,,1
2,V/H/S/85,V/H/S/85,13,5.6,,,https://www.imdb.com/title/tt22640398/?ref_=fn_al_tt_2,,2
2,V/H/S/2,V/H/S/2,13,6.0,,,https://www.imdb.com/title/tt2450186/?ref_=fn_al_tt_3,,1
2,V/H/S/94,V/H/S/94,13,5.5,,,https://www.imdb.com/title/tt14867006/?ref_=fn_al_tt_4,,1
2,V/H/S/99,V/H/S/99,13,5.1,,,https://www.imdb.com/title/tt21651560/?ref_=fn_al_tt_5,,1
2,Deadgirl,Deadgirl,13,5.5,,,https://www.imdb.com/title/tt0896534/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_DEADGIRL,,1
2,Compliance,Supunere,6,6.4,,,https://www.imdb.com/title/tt1971352/,,1
2,The Girl Next Door,The Girl Next Door,6,6.5,,,https://www.imdb.com/title/tt0830558/,,1
2,You're Next,You're Next,21,6.6,2011-08-23,"<p><span style=""color:hsl(0, 0%, 0%);"">In an attempt to mend their broken family ties, Aubrey and Paul Davison decide to celebrate their wedding anniversary by inviting family members to their weekend estate. The celebration gets off to a rocky start when mysterious assailants wearing animal masks suddenly attack the house.</span></p>",https://www.imdb.com/title/tt1853739/,,1
